statenm,year,per_total,per_hhkid,per_hhnokid,per_hheld,per_hhdis,per_hhearn,per_total_fail,per_hhkid_fail,per_hhnokid_fail,per_hheld_fail,per_hhdis_fail,per_hhearn_fail,per_total_fail_pctoftotal,per_hhkid_fail_pctofhhkid,per_hhnokid_fail_pctofhhnokid,per_hheld_fail_pctofhheld,per_hhdis_fail_pctofhhdis,per_hhearn_fail_pctofhhearn,per_hhkid_fail_pctoffail,per_hhnokid_fail_pctoffail,per_hheld_fail_pctoffail,per_hhdis_fail_pctoffail,per_hhearn_fail_pctoffail
United States,2015,45184060.238,30783791.27,14400268.968,5502800.5064,8348645.7627,19968695.997,1834867.2015,1225886.9479,608980.25366,304670.65217,200350.3191,1442603.8121,4.06,3.98,4.23,5.54,2.4,7.22,66.81,33.19,16.6,10.92,78.62
Alabama,2015,885842.87149,632529.84624,253313.02525,94692.576744,198593.03379,357078.47388,3888.6951413,1584.6660455,2304.0290958,0,904.35077812,3888.6951413,0.44,0.25,0.91,0,0.46,1.09,40.75,59.25,0,23.26,100
Alaska,2015,80882.888344,59905.005233,20977.883111,9729.6240894,10623.82295,30780.200053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,2015,986001.15353,736206.46148,249794.69205,100265.81482,114483.01116,484799.71319,62185.232589,49228.37598,12956.856609,7724.1458617,2363.876269,55523.961249,6.31,6.69,5.19,7.7,2.06,11.45,79.16,20.84,12.42,3.8,89.29
Arkansas,2015,455775.40127,326170.84255,129604.55872,47287.538894,117504.80475,182340.39482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California,2015,4346007.1332,3233236.2238,1112770.9094,212397.45627,48791.95006,2161791.5359,151563.76985,108992.90488,42570.864976,27976.792569,2905.694202,108368.67297,3.49,3.37,3.83,13.17,5.96,5.01,71.91,28.09,18.46,1.92,71.5
Colorado,2015,489172.5668,360227.91566,128944.65114,50280.270536,73663.087723,233830.0266,4479.2611688,4195.6454457,283.61572314,0,283.61572314,4195.6454457,0.92,1.16,0.22,0,0.39,1.79,93.67,6.33,0,6.33,93.67
Connecticut,2015,436660.55999,249101.41389,187559.14611,62535.427672,81885.142038,167301.95309,35106.072537,24747.902273,10358.170264,1364.6727227,2525.7169784,31597.621751,8.04,9.93,5.52,2.18,3.08,18.89,70.49,29.51,3.89,7.19,90.01
Delaware,2015,146982.40059,105368.35233,41614.048259,13509.592183,26203.523789,63732.710499,11668.127051,7745.0194681,3923.1075826,2015.1462613,1446.4868922,8342.1302142,7.94,7.35,9.43,14.92,5.52,13.09,66.38,33.62,17.27,12.4,71.5
District of Columbia,2015,140329.77771,81584.089249,58745.688464,15538.599671,26573.027962,36560.514085,6671.8528708,3138.4830304,3533.3698404,1419.0060128,588.01159776,5282.5571632,4.75,3.85,6.01,9.13,2.21,14.45,47.04,52.96,21.27,8.81,79.18
Florida,2015,3654279.8178,2191867.463,1462412.3549,587534.46876,640811.28617,1491180.453,233925.08775,169235.94256,64689.145184,26509.083691,23072.853015,198430.2269,6.4,7.72,4.42,4.51,3.6,13.31,72.35,27.65,11.33,9.86,84.83
Georgia,2015,1789103.22,1261305.1152,527798.10477,194696.78984,316540.48932,774331.53312,34289.248956,9684.2918363,24604.95712,19995.910589,3635.98503,12190.79743,1.92,0.77,4.66,10.27,1.15,1.57,28.24,71.76,58.32,10.6,35.55
Guam,2015,46442.475039,39282.052534,7160.4225048,4327.4269291,1538.5296038,28260.515447,5284.627638,4376.2456028,908.38203523,497.1118083,154.52313217,4956.3555576,11.38,11.14,12.69,11.49,10.04,17.54,82.81,17.19,9.41,2.92,93.79
Hawaii,2015,184663.58467,118586.6123,66076.972379,27813.31337,26396.997583,98339.953254,9750.4317631,8006.5761306,1743.8556325,381.94408291,72.363561994,9310.6504719,5.28,6.75,2.64,1.37,0.27,9.47,82.12,17.88,3.92,0.74,95.49
Idaho,2015,194234.19228,149419.20284,44814.989438,18275.205169,38806.840018,112737.50001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,2015,2009512.7956,1300273.5462,709239.24937,249866.79048,319763.52797,818092.89475,35502.449416,11437.745766,24064.70365,18682.215259,14028.169126,5639.28165,1.77,0.88,3.39,7.48,4.39,0.69,32.22,67.78,52.62,39.51,15.88
Indiana,2015,812145.61568,596738.07491,215407.54077,59459.171838,191942.30298,378947.89552,381.74516489,0,381.74516489,0,381.74516489,381.74516489,0.05,0,0.18,0,0.2,0.1,0,100,0,100,100
Iowa,2015,387158.71572,267426.81117,119731.90455,38469.884027,63876.891715,202838.00158,32456.549441,20048.660362,12407.889079,4219.0627526,3069.6207285,27058.33512,8.38,7.5,10.36,10.97,4.81,13.34,61.77,38.23,13,9.46,83.37
Kansas,2015,273154.96324,205147.77517,68007.188071,23921.394772,64116.855471,132888.94196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kentucky,2015,758389.0567,517674.27044,240714.78626,83929.915396,212944.48896,274324.87473,2191.1261756,1437.2523432,753.87383235,753.87383235,0,1437.2523432,0.29,0.28,0.31,0.9,0,0.52,65.59,34.41,34.41,0,65.59
Louisiana,2015,855140.5944,634491.47209,220649.12231,88879.502777,193366.20158,352217.83017,806.37408574,806.37408574,0,0,0,806.37408574,0.09,0.13,0,0,0,0.23,100,0,0,0,100
Maine,2015,199689.04113,124942.04745,74746.993678,31555.534744,56640.150384,81729.851525,18094.24529,11292.106077,6802.1392123,3798.3834603,1615.7052403,13283.850682,9.06,9.04,9.1,12.04,2.85,16.25,62.41,37.59,20.99,8.93,73.41
Maryland,2015,771259.20181,506237.81367,265021.38814,94831.76608,149331.21922,321976.24279,64635.600883,47245.297029,17390.303853,8924.6736251,2898.1929536,53082.410996,8.38,9.33,6.56,9.41,1.94,16.49,73.09,26.91,13.81,4.48,82.13
Massachusetts,2015,767254.54384,430817.69681,336436.84703,154387.72431,219861.5637,243769.28239,51206.110364,40728.072508,10478.037855,7336.7968223,4014.075447,41191.712604,6.67,9.45,3.11,4.75,1.83,16.9,79.54,20.46,14.33,7.84,80.44
Michigan,2015,1564718.8681,966068.30803,598650.56005,194458.46528,367769.0168,624810.35636,79865.158225,46004.039115,33861.11911,13079.434903,7919.5351144,63815.178004,5.1,4.76,5.66,6.73,2.15,10.21,57.6,42.4,16.38,9.92,79.9
Minnesota,2015,476299.78664,327459.0742,148840.71244,62353.893813,96002.083686,251406.26058,34285.896526,26936.819569,7349.0769569,2893.7036477,3598.0565986,28495.336002,7.2,8.23,4.94,4.64,3.75,11.33,78.57,21.43,8.44,10.49,83.11
Mississippi,2015,633218.76206,433500.73831,199718.02375,73792.362246,141182.17034,226892.18221,652.80336404,652.80336404,0,0,0,652.80336404,0.1,0.15,0,0,0,0.29,100,0,0,0,100
Missouri,2015,840313.85889,588731.67598,251582.18291,82560.084918,190104.16886,318286.93369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,2015,114924.52615,80061.69658,34862.829569,12029.453706,23960.122783,47730.514195,3436.8768227,2464.8844804,971.99234228,73.160229894,0,3363.7165928,2.99,3.08,2.79,0.61,0,7.05,71.72,28.28,2.13,0,97.87
Nebraska,2015,171735.4712,127887.24083,43848.23037,16790.973725,34016.452439,83128.488052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nevada,2015,408077.1735,270928.42463,137148.74887,50277.484657,59122.910041,204675.72445,27956.687258,12850.378351,15106.308907,6681.5667283,3944.6906341,20006.580783,6.85,4.74,11.01,13.29,6.67,9.77,45.97,54.03,23.9,14.11,71.56
New Hampshire,2015,102271.34795,70816.913105,31454.434846,12234.991455,36053.656795,45620.956537,8087.217096,8087.217096,0,0,772.15865743,7756.4555366,7.91,11.42,0,0,2.14,17,100,0,0,9.55,95.91
New Jersey,2015,899456.90785,609017.23537,290439.67247,156295.44376,186195.67811,355942.08328,52276.185609,39213.328449,13062.85716,4565.5054159,4123.5213755,42060.839583,5.81,6.44,4.5,2.92,2.21,11.82,75.01,24.99,8.73,7.89,80.46
New Mexico,2015,443198.30613,326171.22028,117027.08585,51201.909236,68603.929272,224025.20579,12277.501861,10511.339176,1766.1626849,0,0,12277.501861,2.77,3.22,1.51,0,0,5.48,85.61,14.39,0,0,100
New York,2015,2970945.5088,1670499.0933,1300446.4156,675318.20577,655720.21295,1249045.5446,62988.080493,34738.797014,28249.283479,18470.039223,17568.839871,44944.892128,2.12,2.08,2.17,2.74,2.68,3.6,55.15,44.85,29.32,27.89,71.35
North Carolina,2015,1610902.0099,1099772.0176,511129.99227,172807.32212,316472.14166,764963.47305,132574.83037,71546.101453,61028.728914,33763.233148,13712.814001,98763.366794,8.23,6.51,11.94,19.54,4.33,12.91,53.97,46.03,25.47,10.34,74.5
North Dakota,2015,52275.80294,38031.631154,14244.171786,8631.7760229,8913.7364963,22946.522524,3243.6534757,2766.0883302,477.56514554,0,0,3104.0243435,6.2,7.27,3.35,0,0,13.53,85.28,14.72,0,0,95.7
Ohio,2015,1645588.3743,1134132.555,511455.81929,205824.94895,385820.55748,696058.81678,44344.108115,11073.41268,33270.695434,18237.245147,17473.143165,13048.587256,2.69,0.98,6.51,8.86,4.53,1.87,24.97,75.03,41.13,39.4,29.43
Oklahoma,2015,584147.34819,428934.59647,155212.75172,54768.026278,123033.05534,248564.99638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oregon,2015,771586.42567,440126.31158,331460.11409,106787.69431,115800.5525,364979.90827,79368.116179,46314.643796,33053.472383,12425.880208,3793.4821299,66224.55745,10.29,10.52,9.97,11.64,3.28,18.14,58.35,41.65,15.66,4.78,83.44
Pennsylvania,2015,1820709.656,1184966.2524,635743.40357,248064.85097,506542.13446,737846.36143,95025.767384,57374.544889,37651.222495,17639.500031,14002.026264,76127.332305,5.22,4.84,5.92,7.11,2.76,10.32,60.38,39.62,18.56,14.73,80.11
Rhode Island,2015,172793.91408,101169.79686,71624.117214,27970.171638,43087.671872,63398.051692,11610.46334,8937.4718821,2672.9914578,941.8192253,787.66208359,9532.5449942,6.72,8.83,3.73,3.37,1.83,15.04,76.98,23.02,8.11,6.78,82.1
South Carolina,2015,797964.11903,578349.72735,219614.39168,83176.158141,146699.50452,340980.09428,4029.2977969,621.53111595,3407.766681,2411.1134972,645.94876019,350.70442357,0.5,0.11,1.55,2.9,0.44,0.1,15.43,84.57,59.84,16.03,8.7
South Dakota,2015,98064.184399,73083.41143,24980.772969,9019.5935406,17933.381999,47430.69362,1169.5559361,1169.5559361,0,0,0,1169.5559361,1.19,1.6,0,0,0,2.47,100,0,0,0,100
Tennessee,2015,1215141.7349,817857.7984,397283.93647,133113.53361,233813.38018,467489.72297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Texas,2015,3702603.864,2997836.8421,704767.02189,389326.91602,706290.33247,1998580.2253,243734.59045,214845.83613,28888.754314,10222.673239,27674.559165,232979.53406,6.58,7.17,4.1,2.63,3.92,11.66,88.15,11.85,4.19,11.35,95.59
Utah,2015,222963.37315,181695.5974,41267.775759,14670.666749,26141.054069,125294.485,382.86895148,382.86895148,0,0,0,382.86895148,0.17,0.21,0,0,0,0.31,100,0,0,0,100
Vermont,2015,84343.138063,51081.848427,33261.289636,15722.383982,21984.677136,36755.582961,10005.77853,8614.6220445,1391.1564858,617.1824437,137.52556122,9171.9745059,11.86,16.86,4.18,3.93,0.63,24.95,86.1,13.9,6.17,1.37,91.67
Virgin Islands,2015,27230.084613,20145.732371,7084.3522413,3571.6634304,1264.3351947,13198.252062,1657.6944157,1107.3926538,550.30176188,358.69464798,288.34227941,1134.1788444,6.09,5.5,7.77,10.04,22.81,8.59,66.8,33.2,21.64,17.39,68.42
Virginia,2015,840138.78005,610309.68051,229829.09955,106908.39937,168042.62627,359562.21815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,2015,1058307.1051,659472.24789,398834.85725,126379.35046,181732.97386,466065.52888,73751.371937,49504.163992,24247.207945,5977.8401789,5012.8862373,60753.208349,6.97,7.51,6.08,4.73,2.76,13.04,67.12,32.88,8.11,6.8,82.38
West Virginia,2015,360797.28383,234926.41844,125870.86538,42413.552409,94824.137972,134561.66459,11512.619384,5026.9867023,6485.6326821,4210.2993192,1862.6510122,6366.9885311,3.19,2.14,5.15,9.93,1.96,4.73,43.67,56.33,36.57,16.18,55.3
Wisconsin,2015,791509.769,507394.33452,284115.43448,100016.78366,192460.55951,402007.04151,76543.469878,41210.559269,35332.910609,20502.941584,13071.490349,55152.804598,9.67,8.12,12.44,20.5,6.79,13.72,53.84,46.16,26.79,17.08,72.05
Wyoming,2015,31750.183214,24822.745774,6927.4374394,2127.6568086,4799.7986786,16596.815927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States,2016,43538854.819,29768193.076,13770661.743,5751908.307,8020320.315,19388679.024,1921245.8173,1120303.8575,800941.95985,434215.1191,231045.74259,1345765.3136,4.41,3.76,5.82,7.55,2.88,6.94,58.31,41.69,22.6,12.03,70.05
Alabama,2016,843884.3281,596013.08143,247871.24667,94788.371961,229656.95055,316284.7017,3892.0539015,981.0707436,2910.9831579,741.02902267,622.88223955,3478.5456995,0.46,0.16,1.17,0.78,0.27,1.1,25.21,74.79,19.04,16,89.38
Alaska,2016,82257.823016,60135.204664,22122.618352,12711.107329,9185.6060094,34337.550919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,2016,932589.46633,681135.00565,251454.46068,94638.31994,109752.09702,453149.09897,46772.120416,35309.705033,11462.415383,6954.8294271,0,40133.325724,5.02,5.18,4.56,7.35,0,8.86,75.49,24.51,14.87,0,85.81
Arkansas,2016,416854.99274,307923.20602,108931.78672,41898.120234,100585.43459,184517.06585,618.71416415,618.71416415,0,0,0,618.71416415,0.15,0.2,0,0,0,0.34,100,0,0,0,100
California,2016,4260995.2571,3134071.3879,1126923.8692,302415.73333,75214.082178,2103155.3183,126460.69782,74622.888729,51837.809087,4887.9092461,7567.5054827,102700.24078,2.97,2.38,4.6,1.62,10.06,4.88,59.01,40.99,3.87,5.98,81.21
Colorado,2016,471877.38992,338138.26791,133739.12201,63075.743745,67585.320044,226625.01029,2656.963822,2060.8586273,596.10519466,0,275.1259843,2335.9846116,0.56,0.61,0.45,0,0.41,1.03,77.56,22.44,0,10.35,87.92
Connecticut,2016,428621.73937,244994.0767,183627.66267,77941.136637,88099.40798,173291.44206,38200.699126,21692.964012,16507.735113,8481.6675024,3886.6613888,27019.296501,8.91,8.85,8.99,10.88,4.41,15.59,56.79,43.21,22.2,10.17,70.73
Delaware,2016,141985.63094,101223.80801,40761.822934,18406.811795,28528.8866,63405.410266,12278.429432,7357.922034,4920.507398,2850.513511,1342.1216256,9014.8432424,8.65,7.27,12.07,15.49,4.7,14.22,59.93,40.07,23.22,10.93,73.42
District of Columbia,2016,132530.58901,76992.608652,55537.980354,15948.619419,34430.796712,32460.186501,5209.7007218,1344.9262773,3864.7744445,1588.6657942,701.27488966,2956.9004174,3.93,1.75,6.96,9.96,2.04,9.11,25.82,74.18,30.49,13.46,56.76
Florida,2016,3454529.6667,2155095.8455,1299433.8212,679023.02455,559038.74347,1374210.1063,215296.40858,132873.70593,82422.702651,43836.670572,52747.208781,156585.38026,6.23,6.17,6.34,6.46,9.44,11.39,61.72,38.28,20.36,24.5,72.73
Georgia,2016,1721757.9021,1263410.6509,458347.25116,185325.81013,337822.12298,756933.97071,47923.211561,20452.989371,27470.222191,19569.642872,2945.6495029,31923.554667,2.78,1.62,5.99,10.56,0.87,4.22,42.68,57.32,40.84,6.15,66.61
Guam,2016,46326.570718,38751.287598,7575.2831205,5488.7529906,2116.4109587,28434.001682,3555.1354627,3054.3759404,500.75952229,175.60351843,30.836761401,3432.3125271,7.67,7.88,6.61,3.2,1.46,12.07,85.91,14.09,4.94,0.87,96.55
Hawaii,2016,175232.55732,110711.5957,64520.961624,31393.323272,30295.462504,89385.167936,8572.6223211,7403.4067234,1169.2155977,363.9933726,148.06420631,8327.5267618,4.89,6.69,1.81,1.16,0.49,9.32,86.36,13.64,4.25,1.73,97.14
Idaho,2016,182033.90431,139355.55559,42678.348724,19561.285186,40676.801492,99338.406607,696.96462488,508.56714801,188.39747687,188.39747687,415.24356921,281.72105567,0.38,0.36,0.44,0.96,1.02,0.28,72.97,27.03,27.03,59.58,40.42
Illinois,2016,1893936.0756,1228194.6041,665741.47153,218453.11899,352265.14554,807832.09761,48435.86767,23813.290876,24622.576794,15190.303302,13000.816745,26615.145694,2.56,1.94,3.7,6.95,3.69,3.29,49.16,50.84,31.36,26.84,54.95
Indiana,2016,718666.60135,530251.89729,188414.70406,65071.173528,160500.3215,337987.69256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iowa,2016,371910.15132,262468.25392,109441.8974,33627.301612,74356.324169,197960.01284,33491.834884,23253.443056,10238.391827,4281.7509694,2607.2477903,27855.567653,9.01,8.86,9.36,12.73,3.51,14.07,69.43,30.57,12.78,7.78,83.17
Kansas,2016,250073.36008,185182.60017,64890.759908,29208.340474,58770.655221,119555.77153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kentucky,2016,650825.29428,446791.99605,204033.29824,77003.45202,161067.14563,219865.36209,1926.441869,1662.1224794,264.31938955,1483.6237684,0,442.81810059,0.3,0.37,0.13,1.93,0,0.2,86.28,13.72,77.01,0,22.99
Louisiana,2016,886435.97014,634346.05601,252089.91414,105925.19504,218590.34329,342458.24656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maine,2016,185379.29347,114840.13768,70539.155786,33002.31628,53577.916859,77250.00105,15367.877967,9275.8542851,6092.0236823,3850.1695398,2415.4815046,9812.5495151,8.29,8.08,8.64,11.67,4.51,12.7,60.36,39.64,25.05,15.72,63.85
Maryland,2016,737713.98938,487003.84599,250710.14339,97850.844104,125459.99004,317979.56384,63075.363167,38759.024888,24316.33828,7451.4037145,5570.2120192,45014.287517,8.55,7.96,9.7,7.62,4.44,14.16,61.45,38.55,11.81,8.83,71.37
Massachusetts,2016,761688.62003,428000.21138,333688.40865,158244.4234,192465.31542,256263.13158,77830.568362,62322.123816,15508.444546,10784.33357,2746.2124595,63649.617283,10.22,14.56,4.65,6.81,1.43,24.84,80.07,19.93,13.86,3.53,81.78
Michigan,2016,1445361.9292,880548.71007,564813.21913,184773.83075,318413.83394,681455.1483,96039.310894,53781.808407,42257.502488,20838.647618,10575.771906,71702.716748,6.64,6.11,7.48,11.28,3.32,10.52,56,44,21.7,11.01,74.66
Minnesota,2016,466872.99841,324449.24823,142423.75018,58189.239664,84380.760301,259017.28986,38715.684716,29591.067437,9124.6172788,3014.7400628,5967.7980565,34114.0155,8.29,9.12,6.41,5.18,7.07,13.17,76.43,23.57,7.79,15.41,88.11
