statenm,year,per_total,per_hhkid,per_hhnokid,per_hheld,per_hhdis,per_hhearn,per_total_fail,per_hhkid_fail,per_hhnokid_fail,per_hheld_fail,per_hhdis_fail,per_hhearn_fail,per_total_fail_pctoftotal,per_hhkid_fail_pctofhhkid,per_hhnokid_fail_pctofhhnokid,per_hheld_fail_pctofhheld,per_hhdis_fail_pctofhhdis,per_hhearn_fail_pctofhhearn,per_hhkid_fail_pctoffail,per_hhnokid_fail_pctoffail,per_hheld_fail_pctoffail,per_hhdis_fail_pctoffail,per_hhearn_fail_pctoffail
Mississippi,2016,578819.61132,419028.38469,159791.22663,58015.229355,132697.27029,240182.83315,238.53482643,0,238.53482643,0,0,238.53482643,0.04,0,0.15,0,0,0.1,0,100,0,0,100
Missouri,2016,802856.61228,576010.36547,226846.2468,74223.41629,205733.34772,292340.74889,3090.9912509,3090.9912509,0,0,0,3090.9912509,0.38,0.54,0,0,0,1.06,100,0,0,0,100
Montana,2016,115180.08889,82144.624458,33035.464428,13386.924882,21433.335362,53915.093988,5134.6107179,3796.1823667,1338.4283512,0,166.76734218,5053.4157966,4.46,4.62,4.05,0,0.78,9.37,73.93,26.07,0,3.25,98.42
Nebraska,2016,174180.22967,131285.83514,42894.394524,16809.378146,30570.664193,91841.406021,1080.84127,1080.84127,0,0,417.66067772,1080.84127,0.62,0.82,0,0,1.37,1.18,100,0,0,38.64,100
Nevada,2016,429315.33492,280317.77527,148997.55965,54302.180217,53719.545567,216598.54275,32892.261994,16621.924403,16270.337591,8852.0958374,4433.7424976,22541.23671,7.66,5.93,10.92,16.3,8.25,10.41,50.53,49.47,26.91,13.48,68.53
New Hampshire,2016,95482.915182,65996.5389,29486.376282,11767.665973,28847.437252,42195.977417,9238.3552798,9238.3552798,0,0,394.56393962,8843.7913402,9.68,14,0,0,1.37,20.96,100,0,0,4.27,95.73
New Jersey,2016,877696.40945,609616.07616,268080.33329,142551.82709,171301.05645,339530.04673,52320.503751,35499.822909,16820.680842,8945.0196769,5946.5039412,35562.178697,5.96,5.82,6.27,6.27,3.47,10.47,67.85,32.15,17.1,11.37,67.97
New Mexico,2016,456971.42597,332454.69975,124516.72623,49750.356005,71512.382139,220694.48055,9991.3092167,7090.9618953,2900.3473214,218.4339405,0,9746.0905683,2.19,2.13,2.33,0.44,0,4.42,70.97,29.03,2.19,0,97.55
New York,2016,2947759.4369,1752684.6279,1195074.8091,676764.10376,695500.27495,1134022.6927,92819.774228,66088.012193,26731.762035,23432.047244,7506.5613466,60571.99366,3.15,3.77,2.24,3.46,1.08,5.34,71.2,28.8,25.24,8.09,65.26
North Carolina,2016,1539621.0542,1078055.2827,461565.77143,194311.95682,243245.04577,768322.10651,103718.73572,60775.991766,42942.74395,23771.640919,9636.2455795,79734.572353,6.74,5.64,9.3,12.23,3.96,10.38,58.6,41.4,22.92,9.29,76.88
North Dakota,2016,52779.618883,37878.631828,14900.987055,6970.3644959,8756.972534,25397.488157,2768.6488585,2582.0830515,186.565807,0,0,2768.6488585,5.25,6.82,1.25,0,0,10.9,93.26,6.74,0,0,100
Ohio,2016,1565057.5369,1039994.6464,525062.89049,183081.4852,383434.47625,675275.49532,37563.632264,8443.9915638,29119.640701,19027.542452,16662.357071,13406.126424,2.4,0.81,5.55,10.39,4.35,1.99,22.48,77.52,50.65,44.36,35.69
Oklahoma,2016,605938.9279,440923.46014,165015.46776,67220.938919,143156.96384,249677.79742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oregon,2016,726222.79063,383113.31105,343109.47958,124899.97556,141252.35366,305221.73043,76317.566574,38052.097138,38265.469435,21301.566084,8788.7310794,50452.683167,10.51,9.93,11.15,17.05,6.22,16.53,49.86,50.14,27.91,11.52,66.11
Pennsylvania,2016,1845715.7562,1163111.2084,682604.54782,307031.63975,483091.97745,816855.26579,135481.33187,61867.058983,73614.272886,39744.052258,18798.073071,95074.975317,7.34,5.32,10.78,12.94,3.89,11.64,45.66,54.34,29.34,13.88,70.18
Rhode Island,2016,166624.41611,92377.348279,74247.067827,28742.009621,44523.419993,68235.401022,12499.804488,8340.7297796,4159.0747082,1706.8087968,952.78044499,10028.38131,7.5,9.03,5.6,5.94,2.14,14.7,66.73,33.27,13.65,7.62,80.23
South Carolina,2016,747349.96158,535255.49002,212094.47155,93877.522999,160556.04751,310788.62345,12604.480879,10590.504128,2013.9767509,2013.9767509,8350.1590793,5592.9889263,1.69,1.98,0.95,2.15,5.2,1.8,84.02,15.98,15.98,66.25,44.37
South Dakota,2016,94846.890019,70929.916054,23916.973965,9243.6936184,15275.771297,45558.4756,474.91547474,474.91547474,0,0,0,474.91547474,0.5,0.67,0,0,0,1.04,100,0,0,0,100
Tennessee,2016,1100352.0631,745809.34206,354542.72105,124379.14536,231443.37202,409039.43567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Texas,2016,3731727.0608,2993128.7896,738598.27123,410241.48214,563433.23081,2019346.9606,243612.70183,99017.771924,144594.9299,97800.121616,10419.415839,112151.4202,6.53,3.31,19.58,23.84,1.85,5.55,40.65,59.35,40.15,4.28,46.04
Utah,2016,214936.77087,171649.33929,43287.431574,18941.442814,34590.514544,114439.76201,283.51133233,197.45840931,86.052923029,0,86.052923029,197.45840931,0.13,0.12,0.2,0,0.25,0.17,69.65,30.35,0,30.35,69.65
Vermont,2016,79505.304422,48560.121555,30945.182867,15044.11676,21075.571523,36049.464142,7414.1560757,6242.7869922,1171.3690835,536.29071685,0,6745.2395126,9.33,12.86,3.79,3.56,0,18.71,84.2,15.8,7.23,0,90.98
Virgin Islands,2016,27759.916667,19379.385454,8380.5312122,3988.4302029,954.46862717,13464.599542,2919.7190391,2409.1843228,510.53471629,314.92303483,0,2812.9939112,10.52,12.43,6.09,7.9,0,20.89,82.51,17.49,10.79,0,96.34
Virginia,2016,794780.1986,585039.67275,209740.52585,98470.831955,187967.82612,355478.5586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,2016,1003234.3875,598101.8586,405132.52895,123561.33657,198730.66538,481329.72153,93238.55638,67819.82935,25418.727029,6002.0502818,12330.337031,80887.314489,9.29,11.34,6.27,4.86,6.2,16.8,72.74,27.26,6.44,13.22,86.75
West Virginia,2016,349422.94497,225789.56894,123633.37603,46806.983604,93242.253845,118959.51648,13716.772963,6901.6503433,6815.1226196,5141.2717186,4941.7969252,7524.4857501,3.93,3.06,5.51,10.98,5.3,6.33,50.32,49.68,37.48,36.03,54.86
Wisconsin,2016,720881.20389,493222.48011,227658.72378,91234.068243,135938.59201,373566.93457,84807.429586,53339.88272,31467.546866,18873.38291,7647.8788847,63168.970955,11.76,10.81,13.82,20.69,5.63,16.91,62.9,37.1,22.25,9.02,74.49
Wyoming,2016,33493.850217,26305.152011,7188.698206,2324.4042566,5499.6028278,17198.109379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States,2017,41490938.289,28047954.451,13442983.838,6168544.6015,7748629.8183,18372452.507,2017740.9636,1164081.8062,853659.15736,493825.66464,231314.27172,1432062.3765,4.86,4.15,6.35,8.01,2.99,7.79,57.69,42.31,24.47,11.46,70.97
Alabama,2017,793755.98423,580543.16287,213212.82135,96001.026401,180708.90711,354397.78848,2803.76433,0,2803.76433,2090.4523002,0,1159.6034907,0.35,0,1.32,2.18,0,0.33,0,100,74.56,0,41.36
Alaska,2017,86232.160164,61394.162673,24837.997491,11223.817305,9615.0125346,39761.685193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,2017,852166.39049,614521.85567,237644.53482,98956.874379,86494.358515,426147.60057,15916.068403,9402.4329659,6513.6354372,1566.681066,1757.4989335,12591.888404,1.87,1.53,2.74,1.58,2.03,2.95,59.08,40.92,9.84,11.04,79.11
Arkansas,2017,374863.17937,283421.12544,91442.053932,35337.464006,103921.79263,159406.86962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California,2017,4054063.0255,2977670.87,1076392.1555,373412.38391,93650.129757,1941567.8066,208583.91763,141580.1437,67003.773929,30293.777061,19647.657377,193105.20983,5.15,4.75,6.22,8.11,20.98,9.95,67.88,32.12,14.52,9.42,92.58
Colorado,2017,451705.63949,314355.8883,137349.75119,69049.401713,56393.849053,189038.46958,6137.5036093,3299.9085781,2837.5950313,1642.4437579,557.09823822,4784.7295268,1.36,1.05,2.07,2.38,0.99,2.53,53.77,46.23,26.76,9.08,77.96
Connecticut,2017,404174.6702,224106.05581,180068.61439,78392.248752,90656.543279,172422.85929,39023.357376,30111.29665,8912.0607261,4407.3088935,2762.3039563,32268.625923,9.66,13.44,4.95,5.62,3.05,18.71,77.16,22.84,11.29,7.08,82.69
Delaware,2017,139281.79048,98057.266104,41224.524375,17495.955442,22267.744994,67640.631626,13407.809249,8976.2163548,4431.5928942,2017.607501,1739.6651584,10539.690803,9.63,9.15,10.75,11.53,7.81,15.58,66.95,33.05,15.05,12.98,78.61
District of Columbia,2017,121571.59786,69133.550018,52438.047847,20020.443385,30133.365569,24954.964958,6013.9084302,2107.8080001,3906.1004301,1493.490115,830.18540384,4077.9275201,4.95,3.05,7.45,7.46,2.76,16.34,35.05,64.95,24.83,13.8,67.81
Florida,2017,3173542.8022,2031600.7905,1141942.0118,604362.41677,644021.16894,1387861.6476,221872.00066,127644.47695,94227.523711,55037.226336,18762.428944,162607.08212,6.99,6.28,8.25,9.11,2.91,11.72,57.53,42.47,24.81,8.46,73.29
Georgia,2017,1599843.0302,1139582.3279,460260.70228,199214.37255,337972.58973,659840.67042,33944.156593,10232.019943,23712.13665,16958.265935,8286.5932305,12170.06964,2.12,0.9,5.15,8.51,2.45,1.84,30.14,69.86,49.96,24.41,35.85
Guam,2017,45273.02451,37837.67694,7435.3475696,4794.686068,410.58067998,26771.841549,4949.6424422,4242.8505899,706.79185223,619.54988968,0,4515.2710458,10.93,11.21,9.51,12.92,0,16.87,85.72,14.28,12.52,0,91.22
Hawaii,2017,165942.39378,103938.39817,62003.995607,31368.756736,20384.280876,84456.413701,8148.3921543,6745.1506497,1403.2415046,198.25458738,175.04157498,7775.0959919,4.91,6.49,2.26,0.63,0.86,9.21,82.78,17.22,2.43,2.15,95.42
Idaho,2017,169902.97949,129108.60139,40794.378103,16319.09217,35414.207802,92719.705114,416.70983896,181.88084855,234.8289904,78.276330134,78.276330134,416.70983896,0.25,0.14,0.58,0.48,0.22,0.45,43.65,56.35,18.78,18.78,100
Illinois,2017,1864681.9298,1182590.6249,682091.30492,257047.75643,314976.30134,808595.12808,102573.74193,60035.972361,42537.769571,21907.636965,11529.645703,62574.942517,5.5,5.08,6.24,8.52,3.66,7.74,58.53,41.47,21.36,11.24,61
Indiana,2017,650848.07278,490029.38283,160818.68995,64110.699428,170991.4836,302446.05107,282.68175746,0,282.68175746,0,0,282.68175746,0.04,0,0.18,0,0,0.09,0,100,0,0,100
Iowa,2017,357257.54322,249315.369,107942.17422,39045.181774,74135.199074,191922.31985,27638.977628,16799.917361,10839.060268,4658.1164074,3671.2614817,21826.244077,7.74,6.74,10.04,11.93,4.95,11.37,60.78,39.22,16.85,13.28,78.97
Kansas,2017,230846.1556,166866.28485,63979.870744,25502.770977,53690.367756,112402.46823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kentucky,2017,638636.90605,433530.4612,205106.44485,77080.025259,170042.06536,222282.43744,7556.7298709,0,7556.7298709,7203.6068916,0,353.12297934,1.18,0,3.68,9.35,0,0.16,0,100,95.33,0,4.67
Louisiana,2017,922456.3735,654931.62039,267524.75312,124931.7052,223365.63986,358054.30673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maine,2017,172677.87663,105476.58599,67201.290639,33576.911002,54633.676791,81213.33607,18388.399981,10920.635281,7467.7647003,4169.6333293,2568.2643019,13486.070784,10.65,10.35,11.11,12.42,4.7,16.61,59.39,40.61,22.68,13.97,73.34
Maryland,2017,674004.17392,442432.36733,231571.80659,107172.66847,123708.1813,266144.16295,47964.598593,33400.651492,14563.947101,7458.2328657,6038.8576516,39155.618914,7.12,7.55,6.29,6.96,4.88,14.71,69.64,30.36,15.55,12.59,81.63
Massachusetts,2017,760945.21203,422985.18026,337960.03177,170891.16328,211000.51568,242828.00437,69741.488669,49934.090052,19807.398617,12293.577615,3070.253687,55535.923545,9.17,11.81,5.86,7.19,1.46,22.87,71.6,28.4,17.63,4.4,79.63
Michigan,2017,1345741.0613,833008.88434,512732.17695,184647.91879,353227.5517,625242.02741,90101.815306,42278.536958,47823.278349,21474.755689,19983.7454,62427.548501,6.7,5.08,9.33,11.63,5.66,9.98,46.92,53.08,23.83,22.18,69.29
Minnesota,2017,434051.95137,290585.99707,143465.9543,65179.305869,69202.036827,231077.86741,27058.276499,21096.46322,5961.8132784,2338.8883164,1030.4641935,24221.152355,6.23,7.26,4.16,3.59,1.49,10.48,77.97,22.03,8.64,3.81,89.51
Mississippi,2017,533210.34703,400183.61314,133026.73389,56467.638936,120343.65901,219954.02594,1769.2199391,1015.3807585,753.83918058,753.83918058,507.69037925,1015.3807585,0.33,0.25,0.57,1.33,0.42,0.46,57.39,42.61,42.61,28.7,57.39
Missouri,2017,726362.56529,520443.18961,205919.37568,87447.532063,157662.42756,321372.51782,6590.8252911,6590.8252911,0,0,2190.3647535,6590.8252911,0.91,1.27,0,0,1.39,2.05,100,0,0,33.23,100
Montana,2017,117721.02435,80762.454507,36958.569844,15989.505254,23177.384939,51719.441982,6184.0927779,4948.6429306,1235.4498473,144.87146228,231.07137059,5872.1834995,5.25,6.13,3.34,0.91,1,11.35,80.02,19.98,2.34,3.74,94.96
Nebraska,2017,172541.82084,127406.95682,45134.864022,18265.139446,31915.311484,92528.701097,1437.2122073,1437.2122073,0,0,452.37927494,1437.2122073,0.83,1.13,0,0,1.42,1.55,100,0,0,31.48,100
Nevada,2017,434834.54031,279401.27201,155433.26831,58585.494146,69050.443416,199338.24409,28251.102266,17141.784288,11109.317977,4968.242954,2712.3571298,21944.236654,6.5,6.14,7.15,8.48,3.93,11.01,60.68,39.32,17.59,9.6,77.68
New Hampshire,2017,89876.181136,60935.888673,28940.292463,11786.757982,31641.731938,41007.15245,7945.0157616,7812.8472052,132.16855635,150.88147066,1088.4438474,7067.0048579,8.84,12.82,0.46,1.28,3.44,17.23,98.34,1.66,1.9,13.7,88.95
New Jersey,2017,814028.00378,548123.20285,265904.80094,163881.39772,131205.76574,365318.78187,52534.25302,34655.845125,17878.407895,9213.642181,5760.3408936,38227.108208,6.45,6.32,6.72,5.62,4.39,10.46,65.97,34.03,17.54,10.96,72.77
New Mexico,2017,452512.52288,318103.13191,134409.39097,50966.233059,63620.836616,210004.01385,8346.024581,6059.2555433,2286.7690376,0,0,8346.024581,1.84,1.9,1.7,0,0,3.97,72.6,27.4,0,0,100
New York,2017,2869965.3607,1576001.2869,1293964.0739,776706.46791,586047.62542,1233804.5663,145792.4085,91415.705984,54376.702514,39414.733713,18270.14695,107798.56697,5.08,5.8,4.2,5.07,3.12,8.74,62.7,37.3,27.03,12.53,73.94
North Carolina,2017,1325255.6978,862778.00231,462477.69553,179099.03117,228838.83569,561483.29723,77177.513888,32367.262763,44810.251124,21472.233759,10605.48786,52074.772116,5.82,3.75,9.69,11.99,4.63,9.27,41.94,58.06,27.82,13.74,67.47
North Dakota,2017,52209.612455,37311.453317,14898.159137,8069.9136932,8758.068257,19775.983883,3302.1165882,3028.1987155,273.91787272,0,0,3302.1165882,6.32,8.12,1.84,0,0,16.7,91.7,8.3,0,0,100
Ohio,2017,1479034.5505,988612.42206,490422.12848,207042.75638,357212.30849,670369.11039,39773.617475,8374.1841155,31399.433359,20515.327544,15257.704128,11552.370052,2.69,0.85,6.4,9.91,4.27,1.72,21.05,78.95,51.58,38.36,29.05
Oklahoma,2017,593463.7154,436252.33907,157211.37633,75232.71272,130858.09583,247185.22544,292.55472266,0,292.55472266,0,292.55472266,292.55472266,0.05,0,0.19,0,0.22,0.12,0,100,0,100,100
Oregon,2017,664981.56836,367290.85388,297690.71448,117643.06556,111986.91103,286598.2608,57660.258656,35205.699402,22454.559254,10482.243839,3549.4450339,44465.137966,8.67,9.59,7.54,8.91,3.17,15.51,61.06,38.94,18.18,6.16,77.12
Pennsylvania,2017,1828591.5292,1137444.555,691146.97416,349009.436,539157.36522,810298.92524,147588.33229,83727.454202,63860.87809,34751.912365,32428.828193,111439.70195,8.07,7.36,9.24,9.96,6.01,13.75,56.73,43.27,23.55,21.97,75.51
Rhode Island,2017,156016.36805,80364.358392,75652.00966,30337.462107,38966.420538,51261.494934,9807.0103415,4968.583106,4838.4272355,3033.1538503,1726.8480544,6525.4108312,6.29,6.18,6.4,10,4.43,12.73,50.66,49.34,30.93,17.61,66.54
South Carolina,2017,714905.69914,527950.82785,186954.87128,97555.724224,135653.07414,315882.13451,4162.0677579,1278.8606528,2883.2071051,2486.9530248,396.25408027,1605.3638002,0.58,0.24,1.54,2.55,0.29,0.51,30.73,69.27,59.75,9.52,38.57
South Dakota,2017,92475.065405,68114.893832,24360.171574,9902.0043397,19090.493744,41194.345242,323.28212277,323.28212277,0,0,0,323.28212277,0.35,0.47,0,0,0,0.78,100,0,0,0,100
Tennessee,2017,1028820.9781,699451.32007,329369.65803,116525.21613,236954.79856,380029.26107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Texas,2017,3850016.5111,3027638.8021,822377.70901,480942.31372,594785.67766,1854788.4341,319376.36739,151431.00206,167945.36533,119581.79136,18885.521366,164860.78132,8.3,5,20.42,24.86,3.18,8.89,47.41,52.59,37.44,5.91,51.62
Utah,2017,201517.00621,159561.86976,41955.136446,16678.60081,30897.460348,105789.69318,440.89017233,348.67151825,92.218654083,0,92.218654083,273.91580226,0.22,0.22,0.22,0,0.3,0.26,79.08,20.92,0,20.92,62.13
Vermont,2017,76118.730546,42469.445828,33649.284718,16670.635878,21924.825442,30958.496984,6792.7546472,5519.2639696,1273.4906776,937.26137362,631.91383082,5640.4883017,8.92,13,3.78,5.62,2.88,18.22,81.25,18.75,13.8,9.3,83.04
Virgin Islands,2017,26271.443821,18822.354455,7449.0893659,3933.8744798,630.60168288,12547.440916,1690.0405052,1207.5678198,482.4726854,194.45559747,144.86372545,1517.5182596,6.43,6.42,6.48,4.94,22.97,12.09,71.45,28.55,11.51,8.57,89.79
Virginia,2017,740865.82279,514672.63835,226193.18444,108118.65738,140039.29143,309764.52126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,2017,923805.98849,542465.49677,381340.49172,153602.42541,162721.14034,389282.07609,70501.727835,51055.028473,19446.699362,7388.2882318,2944.0117153,59053.079839,7.63,9.41,5.1,4.81,1.81,15.17,72.42,27.58,10.48,4.18,83.76
West Virginia,2017,330957.81238,208447.69184,122510.12053,50809.410606,86037.631553,117652.44811,11702.167654,3045.8226119,8656.3450419,5344.0019759,3095.6518279,5424.4209627,3.54,1.46,7.07,10.52,3.6,4.61,26.03,73.97,45.67,26.45,46.35
Wisconsin,2017,677876.73274,455099.6497,222777.08304,98094.194677,152930.86284,350163.86357,55776.166234,32132.973393,23643.192841,15084.048901,7560.9323651,39537.709302,8.23,7.06,10.61,15.38,4.94,11.29,57.61,42.39,27.04,13.56,70.89
Wyoming,2017,32235.165644,24819.989895,7415.1757489,4045.9535706,5503.2186243,13182.985023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
