year,state,per_total,per_hhkid,per_hhnokid,per_total_fail_pctoftotal
2015,AL,885842.8714899999,632529.84624,253313.02525,0.44
2015,AK,80882.888344,59905.005233,20977.883111000003,0.0
2015,AZ,986001.1535299999,736206.46148,249794.69205,6.31
2015,AR,455775.40127,326170.84255,129604.55872,0.0
2015,CA,4346007.1332,3233236.2238,1112770.9094,3.49
2015,CO,489172.5668,360227.91566,128944.65114000002,0.92
2015,CT,436660.55999,249101.41389,187559.14611,8.04
2015,DE,146982.40059,105368.35233,41614.048258999996,7.94
2015,DC,140329.77771,81584.089249,58745.688464,4.75
2015,FL,3654279.8178,2191867.463,1462412.3549,6.4
2015,GA,1789103.22,1261305.1152,527798.10477,1.92
2015,HI,184663.58467,118586.6123,66076.972379,5.28
2015,ID,194234.19228,149419.20284,44814.989438,0.0
2015,IL,2009512.7956,1300273.5462,709239.24937,1.77
2015,IN,812145.61568,596738.0749100001,215407.54077,0.05
2015,IA,387158.71572,267426.81117,119731.90455,8.38
2015,KS,273154.96324,205147.77517,68007.188071,0.0
2015,KY,758389.0567,517674.27043999993,240714.78626,0.29
2015,LA,855140.5944,634491.4720899999,220649.12230999998,0.09
2015,ME,199689.04113,124942.04745,74746.993678,9.06
2015,MD,771259.20181,506237.81367,265021.38814,8.38
2015,MA,767254.5438399999,430817.69681000005,336436.84703,6.67
2015,MI,1564718.8681,966068.30803,598650.56005,5.1
2015,MN,476299.78663999995,327459.0742,148840.71244,7.2
2015,MS,633218.7620600001,433500.73831000004,199718.02375,0.1
2015,MO,840313.8588899999,588731.67598,251582.18291,0.0
2015,MT,114924.52615,80061.69657999999,34862.829569,2.99
2015,NE,171735.4712,127887.24083,43848.23037,0.0
2015,NV,408077.1735,270928.42463,137148.74887,6.85
2015,NH,102271.34795,70816.913105,31454.434845999996,7.91
2015,NJ,899456.90785,609017.23537,290439.67247,5.81
2015,NM,443198.30613000004,326171.22028,117027.08585,2.77
2015,NY,2970945.5088,1670499.0933,1300446.4156,2.12
2015,NC,1610902.0099,1099772.0176,511129.99227,8.23
2015,ND,52275.802939999994,38031.631154,14244.171786,6.2
2015,OH,1645588.3743,1134132.555,511455.81928999996,2.69
2015,OK,584147.3481899999,428934.59647,155212.75172,0.0
2015,OR,771586.42567,440126.31158000004,331460.11409,10.29
2015,PA,1820709.656,1184966.2524,635743.40357,5.22
2015,RI,172793.91408,101169.79686,71624.117214,6.72
2015,SC,797964.1190300001,578349.72735,219614.39168000003,0.5
2015,SD,98064.184399,73083.41143,24980.772969,1.19
2015,TN,1215141.7349,817857.7984,397283.93646999996,0.0
2015,TX,3702603.8639999996,2997836.8421,704767.02189,6.58
2015,UT,222963.37315,181695.5974,41267.775759,0.17
2015,VT,84343.138063,51081.848427,33261.289636,11.86
2015,VI,27230.084613,20145.732371000002,7084.3522413,6.09
2015,VA,840138.78005,610309.6805100001,229829.09955,0.0
2015,WA,1058307.1051,659472.24789,398834.85725,6.97
2015,WV,360797.28383000003,234926.41844,125870.86537999999,3.19
2015,WI,791509.7690000001,507394.33452,284115.43448,9.67
2015,WY,31750.183213999997,24822.745774000003,6927.4374394,0.0
2016,AL,843884.3281,596013.08143,247871.24667,0.46
2016,AK,82257.823016,60135.204664,22122.618352,0.0
2016,AZ,932589.46633,681135.00565,251454.46068000002,5.02
2016,AR,416854.99274,307923.20602,108931.78672,0.15
2016,CA,4260995.2571,3134071.3879,1126923.8692,2.97
2016,CO,471877.38992,338138.26791,133739.12201,0.56
2016,CT,428621.73936999997,244994.0767,183627.66267,8.91
2016,DE,141985.63094,101223.80801000001,40761.822933999996,8.65
2016,DC,132530.58901,76992.608652,55537.980354,3.93
2016,FL,3454529.6667,2155095.8455,1299433.8212,6.23
2016,GA,1721757.9021,1263410.6509,458347.25116000004,2.78
2016,HI,175232.55732,110711.5957,64520.961624,4.89
2016,ID,182033.90430999998,139355.55559,42678.348724,0.38
2016,IL,1893936.0756,1228194.6041,665741.47153,2.56
2016,IN,718666.60135,530251.89729,188414.70406,0.0
2016,IA,371910.15132,262468.25392,109441.8974,9.01
2016,KS,250073.36008,185182.60017,64890.75990800001,0.0
2016,KY,650825.29428,446791.99605,204033.29824,0.3
2016,LA,886435.97014,634346.0560100001,252089.91414,0.0
2016,ME,185379.29347,114840.13768,70539.155786,8.29
2016,MD,737713.98938,487003.84598999994,250710.14339,8.55
2016,MA,761688.62003,428000.21138,333688.40865,10.22
2016,MI,1445361.9292,880548.71007,564813.21913,6.64
2016,MN,466872.99841000006,324449.24823,142423.75018,8.29
2016,MS,578819.61132,419028.38469000004,159791.22663,0.04
2016,MO,802856.61228,576010.36547,226846.2468,0.38
2016,MT,115180.08889000001,82144.624458,33035.464428,4.46
2016,NE,174180.22967,131285.83514,42894.394524,0.62
2016,NV,429315.33492,280317.77527,148997.55965,7.66
2016,NH,95482.91518200001,65996.5389,29486.376282,9.68
2016,NJ,877696.40945,609616.07616,268080.33329,5.96
2016,NM,456971.42597,332454.69975,124516.72623,2.19
2016,NY,2947759.4369,1752684.6279,1195074.8091,3.15
2016,NC,1539621.0542,1078055.2827,461565.77143,6.74
2016,ND,52779.618882999996,37878.631828,14900.987055000001,5.25
2016,OH,1565057.5369,1039994.6464,525062.89049,2.4
2016,OK,605938.9279,440923.46014,165015.46776,0.0
2016,OR,726222.7906300001,383113.31105,343109.47958000004,10.51
2016,PA,1845715.7562,1163111.2084,682604.54782,7.34
2016,RI,166624.41611,92377.348279,74247.06782699999,7.5
2016,SC,747349.96158,535255.49002,212094.47155,1.69
2016,SD,94846.890019,70929.916054,23916.973965,0.5
2016,TN,1100352.0631,745809.34206,354542.72105,0.0
2016,TX,3731727.0608,2993128.7896,738598.2712300001,6.53
2016,UT,214936.77086999998,171649.33929,43287.431574,0.13
2016,VT,79505.304422,48560.121555,30945.182867000003,9.33
2016,VI,27759.916667,19379.385454,8380.5312122,10.52
2016,VA,794780.1986,585039.67275,209740.52585,0.0
2016,WA,1003234.3875,598101.8586,405132.52895,9.29
2016,WV,349422.94496999995,225789.56894,123633.37603,3.93
2016,WI,720881.20389,493222.48011000006,227658.72378000003,11.76
2016,WY,33493.850217,26305.152011000002,7188.698206,0.0
2017,AL,793755.9842300001,580543.16287,213212.82135,0.35
2017,AK,86232.160164,61394.162673,24837.997491,0.0
2017,AZ,852166.39049,614521.85567,237644.53481999997,1.87
2017,AR,374863.17936999997,283421.12544000003,91442.05393200001,0.0
2017,CA,4054063.0255,2977670.87,1076392.1555,5.15
2017,CO,451705.63949,314355.8883,137349.75119,1.36
2017,CT,404174.6702,224106.05581,180068.61439,9.66
2017,DE,139281.79048,98057.266104,41224.524375,9.63
2017,DC,121571.59786,69133.550018,52438.047847,4.95
2017,FL,3173542.8022,2031600.7905,1141942.0118,6.99
2017,GA,1599843.0302,1139582.3279,460260.70228,2.12
2017,HI,165942.39377999998,103938.39817,62003.995607000004,4.91
2017,ID,169902.97949,129108.60139000001,40794.378102999995,0.25
2017,IL,1864681.9298,1182590.6249,682091.30492,5.5
2017,IN,650848.07278,490029.38283,160818.68995,0.04
2017,IA,357257.54322,249315.36899999998,107942.17422,7.74
2017,KS,230846.1556,166866.28485,63979.87074400001,0.0
2017,KY,638636.90605,433530.4612,205106.44485,1.18
2017,LA,922456.3735,654931.6203899999,267524.75312,0.0
2017,ME,172677.87662999998,105476.58598999999,67201.290639,10.65
2017,MD,674004.17392,442432.36733000004,231571.80659000002,7.12
2017,MA,760945.21203,422985.18026,337960.03177,9.17
2017,MI,1345741.0613,833008.88434,512732.17695,6.7
2017,MN,434051.95136999997,290585.99707,143465.9543,6.23
2017,MS,533210.3470300001,400183.61314000003,133026.73389,0.33
2017,MO,726362.5652899999,520443.18961000006,205919.37568,0.91
2017,MT,117721.02435,80762.454507,36958.569844,5.25
2017,NE,172541.82084,127406.95682,45134.864022,0.83
2017,NV,434834.54031,279401.27201,155433.26830999998,6.5
2017,NH,89876.181136,60935.888673,28940.292462999998,8.84
2017,NJ,814028.00378,548123.20285,265904.80094,6.45
2017,NM,452512.52288,318103.13191,134409.39097,1.84
2017,NY,2869965.3607,1576001.2869,1293964.0739,5.08
2017,NC,1325255.6978,862778.00231,462477.69553,5.82
2017,ND,52209.612455,37311.453317,14898.159137,6.32
2017,OH,1479034.5505,988612.42206,490422.12848,2.69
2017,OK,593463.7154,436252.33907,157211.37633,0.05
2017,OR,664981.56836,367290.85388,297690.71448,8.67
2017,PA,1828591.5292,1137444.555,691146.97416,8.07
2017,RI,156016.36805,80364.358392,75652.00966,6.29
2017,SC,714905.6991399999,527950.82785,186954.87128,0.58
2017,SD,92475.065405,68114.893832,24360.171574,0.35
2017,TN,1028820.9781,699451.32007,329369.65803,0.0
2017,TX,3850016.5111,3027638.8021,822377.70901,8.3
2017,UT,201517.00621,159561.86976,41955.136446,0.22
2017,VT,76118.730546,42469.445827999996,33649.284718,8.92
2017,VI,26271.443821,18822.354455,7449.089365899999,6.43
2017,VA,740865.82279,514672.63835,226193.18444,0.0
2017,WA,923805.98849,542465.49677,381340.49172,7.63
2017,WV,330957.81238,208447.69184,122510.12053,3.54
2017,WI,677876.73274,455099.6497,222777.08304,8.23
2017,WY,32235.165644,24819.989895,7415.175748899999,0.0
